id,name,type,parts_count,part_1_link,part_1_duration,part_2_link,part_2_duration,part_3_link,part_3_duration,venue,read_type,series
65403,تحریم، شمس,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=404373&VALID=TRUE&q=11,24:10,,,,,مصر، شهر قاهره، مسجد امام حسین (ع),تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65406,فصلت آیات 30 تا 44,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58417&VALID=TRUE&q=11,16:45,,,,,پاکستان,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65408,سوره فتح آیات 27 تا آخر، شمس، ضحی، شرح,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58423&VALID=TRUE&q=11,22:22,,,,,قاهره، مسجد امام حسین (ع),تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65409,سوره بلد، ضحی، شرح، تین آیات 1 تا 3,,0,http://player.iranseda.ir/quran-player/?g=65409&w=46,,,,,,,,
66860,سوره فتح آیات 27 تا آخر، نباء 31 تا آخر، شمس، حمد,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=95588&VALID=TRUE&q=11,22:04,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
66861,نساء آیات 113 تا 125,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=95587&VALID=TRUE&q=11,14:38,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
66862,نساء آیات 100تا 112,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=95586&VALID=TRUE&q=11,15:22,,,,,کویت,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
66863,سوره واقعه آیات 10 تا 40,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=113986&VALID=TRUE&q=11,21:40,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
116878,سوره حمد و بقره آیات 1 تا 5,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=402398&VALID=TRUE&q=11,7:01,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
122329,سوره تكویر آیات 1 تا آخر,,0,http://player.iranseda.ir/quran-player/?g=122329&w=46,,,,,,,,
142731,مائده آیات 27 الی 32,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=120614&VALID=TRUE&q=11,7:07,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
142741,سوره نور آیات 35 تا 45,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=400787&VALID=TRUE&q=11,17:18,,,,,مسجد الاقصی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
142750,غاشیه 8 تا آخر، شمس، ضحی، تین، حمد، بقره 1 تا 5,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=120642&VALID=TRUE&q=11,25:01,,,,,,تلاوت مستقل,شاهكار هاي تلاوت قرآن
142775,قمر 49 تا آخر، رحمن 1 تا 27، شمس، تین,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=120656&VALID=TRUE&q=11,26:07,,,,,,تلاوت مستقل,شاهكار هاي تلاوت قرآن
142776,سوره مدثر، قیامه,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=120657&VALID=TRUE&q=11,32:19,,,,,,تلاوت مستقل,شاهكار هاي تلاوت قرآن
143110,سوره حج آیات 23 تا 37، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=120963&VALID=TRUE&q=11,25:00,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
286603,سوره كهف آیات 60 تا 78 و آیه107 تا آخر، تكویر، ضحی، شرح و حمد,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=363188&VALID=TRUE&q=11,41:17,,,,,سوریه، شهر دمشق، مسجد یلبغا,تلاوت مستقل,شاهكار هاي تلاوت قرآن
286674,سوره آل عمران آیات 189 تا آخر، حاقه 1 تا 24، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=222143&VALID=TRUE&q=11,43:55,,,,,سوریه، شهر دمشق، مسجد التوبه,تلاوت مستقل,شاهكار هاي تلاوت قرآن
286723,سوره قمر آیات 54 تا آخر، رحمن 1 تا 27، بلد، شمس، حمد، بقره 1 تا 2,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=363243&VALID=TRUE&q=11,28:30,,,,,مصر,تلاوت مستقل,شاهكار هاي تلاوت قرآن
365197,سوره شوری آیات 49 تا آخر، قاف 1 تا 11، شمس، ضحی، شرح,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=416313&VALID=TRUE&q=11,36:16,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
367828,سوره بقره آیات 183 تا 188، بلد 1 تا 18,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=296386&VALID=TRUE&q=11,24:25,,,,,کویت,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
369480,سوره بقره آیات 255 تا 260، نبا، كوثر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=311925&VALID=TRUE&q=11,29:20,,,,,قاهره,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
369481,سوره آل عمران آیات 189 تا آخر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=311924&VALID=TRUE&q=11,24:29,,,,,مسجد الاقصی,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
370939,سوره نساء آیات 136 تا 144,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=311993&VALID=TRUE&q=11,14:27,,,,,قاهره، اذاعه اقران,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
370940,سوره مائده آیات 109 تا آخر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=312005&VALID=TRUE&q=11,23:15,,,,,افریقای جنوبی,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
